Model,Config,Time(ns)
HISTO256,Baseline,1357807
HISTO256,GPU-NDP(iso-FLOPS),261380
HISTO256,GPU-NDP(iso-area),199468
HISTO256,GPU-NDP(4xFLOPS),190941
HISTO256,GPU-NDP(16xFLOPS),190294
HISTO4096,Baseline,1475837
HISTO4096,GPU-NDP(iso-FLOPS),2053723
HISTO4096,GPU-NDP(iso-area),1069215
HISTO4096,GPU-NDP(4xFLOPS),549771
HISTO4096,GPU-NDP(16xFLOPS),229852
SPMV,Baseline,187834
SPMV,GPU-NDP(iso-FLOPS),85695
SPMV,GPU-NDP(iso-area),46853
SPMV,GPU-NDP(4xFLOPS),36137
SPMV,GPU-NDP(16xFLOPS),36137
PGRANK,Baseline,12753578
PGRANK,GPU-NDP(iso-FLOPS),4129247
PGRANK,GPU-NDP(iso-area),2168169
PGRANK,GPU-NDP(4xFLOPS),1681860
PGRANK,GPU-NDP(16xFLOPS),2624924
SSSP,Baseline,195200072
SSSP,GPU-NDP(iso-FLOPS),65085253
SSSP,GPU-NDP(iso-area),45824054
SSSP,GPU-NDP(4xFLOPS),41373139
SSSP,GPU-NDP(16xFLOPS),36754383
DLRM(SLS)-B4,Baseline,588132
DLRM(SLS)-B4,GPU-NDP(iso-FLOPS),250528
DLRM(SLS)-B4,GPU-NDP(iso-area),249640
DLRM(SLS)-B4,GPU-NDP(4xFLOPS),254397
DLRM(SLS)-B4,GPU-NDP(16xFLOPS),262364
DLRM(SLS)-B32,Baseline,284954
DLRM(SLS)-B32,GPU-NDP(iso-FLOPS),70732
DLRM(SLS)-B32,GPU-NDP(iso-area),57378
DLRM(SLS)-B32,GPU-NDP(4xFLOPS),56413
DLRM(SLS)-B32,GPU-NDP(16xFLOPS),57296
DLRM(SLS)-B256,Baseline,258950
DLRM(SLS)-B256,GPU-NDP(iso-FLOPS),60966
DLRM(SLS)-B256,GPU-NDP(iso-area),42698
DLRM(SLS)-B256,GPU-NDP(4xFLOPS),42780
DLRM(SLS)-B256,GPU-NDP(16xFLOPS),42435
OPT-2.7B(Gen),Baseline,6820933
OPT-2.7B(Gen),GPU-NDP(iso-FLOPS),1062129
OPT-2.7B(Gen),GPU-NDP(iso-area),1001975
OPT-2.7B(Gen),GPU-NDP(4xFLOPS),987487
OPT-2.7B(Gen),GPU-NDP(16xFLOPS),1216740
OPT-30B(Gen),Baseline,50879803
OPT-30B(Gen),GPU-NDP(iso-FLOPS),7562905
OPT-30B(Gen),GPU-NDP(iso-area),6984371
OPT-30B(Gen),GPU-NDP(4xFLOPS),7124331
OPT-30B(Gen),GPU-NDP(16xFLOPS),9879473
HISTO256,NSU,1052404.5
HISTO4096,NSU,1067069.5
SPMV,NSU,175935
PGRANK,NSU,19879352.5
SSSP,NSU,378118379
DLRM(SLS)-B4,NSU,509167.5
DLRM(SLS)-B32,NSU,346387.5
DLRM(SLS)-B256,NSU,331347
OPT-2.7B(Gen),NSU,5308339.5
OPT-30B(Gen),NSU,39710827